Feature ID	Taxon	Confidence
ASV_208	k__Rhizaria;p__Cercozoa;c__Cercozoa_cls_Incertae_sedis;o__Cercomonadida;f__unidentified;g__unidentified;s__unidentified	0.9999920989095937
ASV_209	k__Fungi	0.8017939549649356
ASV_210	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Marasmiaceae;g__Marasmius;s__unidentified	0.7974374524036281
ASV_211	k__Rhizaria;p__Cercozoa;c__Cercozoa_cls_Incertae_sedis;o__Thaumatomonadida;f__Thaumatomastigidae;g__Thaumatomonas;s__unidentified	0.9945450694166135
ASV_212	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Scopulariopsis;s__Scopulariopsis_fusca	0.9999274090437233
ASV_213	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium	0.9998215117646128
ASV_214	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium	0.999882092433722
ASV_215	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Cephalotrichum;s__Cephalotrichum_asperulum	0.714437330377338
ASV_216	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Leucoagaricus;s__unidentified	0.9995849184721747
ASV_217	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Cephalotrichum;s__Cephalotrichum_asperulum	0.7273072387496098
ASV_218	Unassigned	0.6326772597613345
ASV_219	Unassigned	0.5904528555344813
ASV_220	Unassigned	0.4919536269358433
ASV_221	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Pseudeurotiaceae;g__Pseudogymnoascus;s__Pseudogymnoascus_destructans	0.7058848836497686
ASV_222	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Brassicales;f__Brassicaceae;g__Brassica;s__Brassica_juncea	0.9987730232518676
ASV_223	Unassigned	0.5641146336369098
ASV_224	Unassigned	0.5201004412180819
ASV_225	Unassigned	0.3567477552153283
ASV_226	k__Fungi	0.9258643651729013
ASV_227	k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliales_fam_Incertae_sedis;g__Vermispora;s__Vermispora_fusarina	0.999995895197896
ASV_228	Unassigned	0.43343688895500665
ASV_229	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae	0.9989617589688202
ASV_230	k__Fungi;p__Basidiomycota;c__Microbotryomycetes	0.9994478695635172
ASV_231	k__Protista;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.77878128579538
ASV_232	k__Protista;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.7911347701744891
ASV_233	k__Metazoa;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.7081338152231946
ASV_234	Unassigned	0.686542773241491
ASV_235	Unassigned	0.601376089571938
